source,author,title,description,content,publishedAt,url
Phys.Org,"Ethan I. Thorpe, Michael Vandenbergh, Zdravka Tzankova","Companies will still face pressure to manage for climate change, even as government rolls back US climate policy","As the federal government moves to eliminate U.S. climate rules, companies still face pressure to be better stewards of the planet from their customers, investors, employees, local communities, lenders, insurers, global trading partners and many states.","As the federal government moves to eliminate U.S. climate rules, companies still face pressure to be better stewards of the planet from their customers, investors, employees, local communities, lende… [+8185 chars]",2025-04-14T16:05:05Z,https://phys.org/news/2025-04-companies-pressure-climate-policy.html
Phys.Org,Science X,US climate cuts hurting global science: Europe's weather agency,Europe's meteorological agency says cuts by US President Donald Trump's administration to a key American science agency had hindered the sharing of crucial observations used around the globe to monitor the climate and forecast weather.,Europe's meteorological agency says cuts by US President Donald Trump's administration to a key American science agency had hindered the sharing of crucial observations used around the globe to monit… [+2738 chars],2025-04-15T09:39:04Z,https://phys.org/news/2025-04-climate-global-science-europe-weather.html
Phys.Org,Cecil MORELLA,"Early holiday, more fans: Philippines schools adapt to climate change",Kindergarten teacher Lolita Akim fires up five standing fans with three more at the ready as she fights to hold the attention of her pint-sized pupils in Manila's soaring heat.,"Kindergarten teacher Lolita Akim fires up five standing fans with three more at the ready as she fights to hold the attention of her pint-sized pupils in Manila's soaring heat.
Last year, heat waves… [+5586 chars]",2025-04-11T08:30:31Z,https://phys.org/news/2025-04-early-holiday-fans-philippines-schools.html
Business Insider,Sarah Perkel,The CEO of Microsoft AI has some 'sort of obvious' advice for young people looking to succeed,"Mustafa Suleyman said workers will develop ""symbiotic"" relationships with AI assistants, and young people should begin preparing now.","Mustafa Suleyman said workers will develop ""symbiotic"" relationships with AI agents.PATRICK T. FALLON
<ul><li>Mustafa Suleyman, CEO of Microsoft AI, said he expects the future of work to include ""sy… [+3639 chars]",2025-04-12T11:06:01Z,https://www.businessinsider.com/microsoft-ai-ceo-mustafa-suleyman-advice-young-people-2025-4
Al Jazeera English,Al Jazeera,UN agrees deal on shipping emissions despite US threats,The US pulled out of the climate talks at the International Maritime Organization in London this week.,"Countries at the United Nations shipping agency have struck a deal on a global fuel emissions standard for the maritime sector, which will impose an emissions fee on ships that breach it and reward v… [+2769 chars]",2025-04-11T17:28:23Z,https://www.aljazeera.com/news/2025/4/11/un-agrees-deal-on-shipping-emissions-despite-us-threats
The New Yorker,The New Yorker,Briefly Noted,"“The Maverick’s Museum,” by Blake Gopnik; “The Franklin Stove,” by Joyce E. Chaplin; “The Dream Hotel,” by Laila Lalami; and “Hunchback,” by Saou Ichikawa, translated from the Japanese by Polly Barton.","The Mavericks Museum, by Blake Gopnik (Ecco). Albert C. Barnes was born into poverty in 1872, in Philadelphia, and went on to make a fortune as the inventor of a topical antiseptic and to amass a sta… [+1434 chars]",2025-04-14T10:00:00Z,https://www.newyorker.com/magazine/2025/04/21/the-mavericks-museum-the-franklin-stove-the-dream-hotel-and-hunchback
Theregister.com,Brandon Vigliarolo,"AI to more than double global datacenter electricity use by 2030, say global policy wonks","No worries, just use neural networks to optimize systems powering neural networks
Analysis Global datacenter electricity use is set to more than double by 2030 - slightly surpassing Japan's total consumption - with AI named as the biggest driver.…<!--#include…","Analysis Global datacenter electricity use is set to more than double by 2030 - slightly surpassing Japan's total consumption - with AI named as the biggest driver.
That's the conclusion of the Inte… [+6023 chars]",2025-04-12T12:58:11Z,https://www.theregister.com/2025/04/12/ai_double_datacenter_energy/
Phys.Org,Massachusetts Institute of Technology,"Hundred-year storm tides to hit Bangladesh every decade as climate change intensifies, scientists report","Tropical cyclones are hurricanes that brew over the tropical ocean and can travel over land, inundating coastal regions. The most extreme cyclones can generate devastating storm tides—seawater that is heightened by the tides and swells onto land, causing cata…","Tropical cyclones are hurricanes that brew over the tropical ocean and can travel over land, inundating coastal regions. The most extreme cyclones can generate devastating storm tidesseawater that is… [+7798 chars]",2025-04-11T15:05:53Z,https://phys.org/news/2025-04-year-storm-tides-bangladesh-decade.html
Yahoo Entertainment,Timothy McGill,Scientists discover alarming global impacts of issue occurring in the Arctic: 'Striking similarities',"""There is much scientific disagreement about the remote effects of Arctic sea ice loss.""","An international team of scientists said it's found a link between the melting of Arctic sea ice and weather in far-flung parts of the planet.
What's happening?
Weather teleconnections are one way … [+3509 chars]",2025-04-13T10:45:57Z,https://www.yahoo.com/news/scientists-discover-alarming-global-impacts-104557004.html
BBC News,,Katy Perry set for space with all-women crew on Blue Origin rocket,Six women—including pop star Katy Perry—are set to blast off into space as part of an all-women suborbital mission,"Maddie MolloyBBC Climate &amp; Science reporter
The singer will be aboard Blue Origin's New Shepard rocket
Pop star Katy Perry and five other women are set to blast into space aboard Jeff Bezos' sp… [+4404 chars]",2025-04-14T07:54:39Z,https://www.bbc.com/news/articles/cvg8e5gq8ljo
VentureBeat,Dean Takahashi,Nvidia pledges to build its own factories in the U.S. for the first time to make AI supercomputers,Nvidia said it is working with its manufacturing partners to build factories that will produce AI supercomputers in the U.S.,"Nvidia said it is working with its manufacturing partners to design and build factories that, for the first time, will produce Nvidia AI supercomputers entirely in the U.S.
Together with leading man… [+2911 chars]",2025-04-14T15:05:00Z,https://venturebeat.com/games/nvidia-pledges-to-build-its-own-factories-in-the-u-s-for-the-first-time-to-make-ai-supercomputers/
Vox,Umair Irfan,The freaky part of allergy season that no one warned you about,"Pollen allergy season is getting longer and more intense as the climate changes, creating more misery for allergy sufferers. But it’s not the only type of allergy threat getting worse with warming.  There are other allergens, like mold spores, whose spread co…","An Asian hornet.


Pollen allergy season is getting longer and more intense as the climate changes, creating more misery for allergy sufferers. But it’s not the only type of allergy threat getting w… [+7258 chars]",2025-04-11T17:09:50Z,https://www.vox.com/climate/408287/allergy-season-insects-pollen-climate-change
The New Yorker,Bill McKibben,Donald Trump’s Tariffs and the Price of Calm,Bill McKibben writes about the worldwide turmoil created by President Donald Trump’s rapid imposition of tariffs.,"I happened to be in northern EuropeFinland and Estoniaduring the days of President Donald Trumps operatic tariff gambit, from his opening announcement that the days when other nations raped and loote… [+7666 chars]",2025-04-14T10:00:00Z,https://www.newyorker.com/news/the-lede/donald-trumps-tariffs-and-the-price-of-calm-northern-europe
Scientific American,"Rachel Feltman, Fonda Mwangi, Alex Sugiura","Length of a Day on Uranus Revised, Pour Height Influences Coffee Quality, and Plastics Recycling Falls Short.","A fluid study homes in on the best method to make a cup of coffee, scientists use the Hubble Telescope to reassess the length of a day on Uranus, and we discuss more of the latest in science in this news roundup.","Rachel Feltman: Happy Monday, listeners! For Scientific American’s Science Quickly, I’m Rachel Feltman. Let’s catch up on some of the science news you might have missed last week.
We’ll ease into th… [+7573 chars]",2025-04-14T10:00:00Z,https://www.scientificamerican.com/podcast/episode/length-of-a-day-on-uranus-revised-pour-height-influences-coffee-quality-and/
ABC News,Aaron Katersky,Harvey Weinstein faces #MeToo retrial as imprisoned movie mogul returns to court,The sequel to the biggest victory of the #MeToo era starts Tuesday when disgraced film producer Harvey Weinstein is re-tried in New York for alleged sex crimes.,"The sequel to the biggest victory of the #MeToo era starts Tuesday when disgraced film producer Harvey Weinstein is retried in New York for alleged sex crimes.
It could take five days to seat a jury… [+2007 chars]",2025-04-15T09:15:23Z,https://abcnews.go.com/US/harvey-weinstein-faces-metoo-retrial-imprisoned-movie-mogul/story?id=120807395
Yahoo Entertainment,Geri Mileva,Authorities stumble upon unexpected energy drain during raid on abandoned warehouse: 'The largest cost input',"The facility appeared deserted, but it housed racks of computers that ran nonstop.","A government raid on an empty warehouse in Abkhazia has raised concerns about the unregulated energy consumption of crypto-mining operations. The facility appeared deserted, but it housed racks of co… [+2879 chars]",2025-04-11T10:15:53Z,https://www.yahoo.com/news/authorities-stumble-upon-unexpected-energy-101553888.html
Grist,Grist Creative,Looking to create effective climate change policy? Ask the community.,"In Seattle, community assemblies are gathering frontline community members to set their own policies around extreme weather.","For Peter Hasegawa, it all started with the heat dome. The labor organizer remembers the 2021 extreme heat event that killed more than 400 people in the state of Washington. That disaster woke up res… [+7499 chars]",2025-04-15T14:30:34Z,http://grist.org/sponsored/looking-to-create-effective-climate-change-policy-community-assembly-seattle/
BBC News,,Global breakthrough to tackle shipping emissions,Countries break ten-year deadlock to agree measures to reduce commercial shipping emissions.,"Esme StallardClimate and science reporter
Countries have agreed a global deal to tackle shipping emissions, after nearly ten years of negotiations.
The agreement covers the vast majority of the wor… [+5865 chars]",2025-04-11T13:27:50Z,https://www.bbc.com/news/articles/c20xxv22wl9o
Business Insider,Morgan McFall-Johnsen,"I'm a coffee expert for a specialty importer and café. We just raised our prices, and I expect others will do the same.","Chris Kornman, a coffee specialist at an importer, says the industry is in a crisis and tariffs made it worse. He thinks customers will soon pay more.","The Crown is a coffee shop in Oakland, California, owned by the importer Royal Coffee.Royal Coffee
<ul><li>Chris Kornman is a coffee specialist and educator for an importer that runs a high-end coff… [+4783 chars]",2025-04-15T17:22:45Z,https://www.businessinsider.com/raised-coffee-prices-expect-other-cafes-shops-will-too-2025-4
Popular Mechanics,Elizabeth Rayne,"Archaeologists Found a 1,000-Year-Old Buddha Statue With Stunning Details","His two typical companions are still missing, though.","""Hearst Magazines and Yahoo may earn commission or revenue on some items through these links.""
<ul><li>An ancient Buddha statue from the early Goryeo dynasty was recently discovered at an archaeolog… [+3599 chars]",2025-04-11T12:00:00Z,https://www.popularmechanics.com/science/archaeology/a64428603/buddha-statue-north-korea/
Mental Floss,CaLea Johnson,"Indian’s Thar Desert Is Getting Greener, Thanks to Human Activity","Thanks to increased accessibility to water and energy, the Thar Desert is now the most populated desert on Earth.","Climate change has had a far-reaching impact on the environment, from increased pathogens found in polar bears to higher levels of seafood contamination. Though its effects are overwhelmingly negativ… [+1793 chars]",2025-04-11T19:01:00Z,https://www.mentalfloss.com/india-thar-desert-greener-climate-change
Quartz India,Ben Kesslen,The 5 most environmentally-friendly states in America — and the 5 least environmentally-friendly,"Going green isn’t just good for the planet — it’s smart for your wallet, too. In the U.S. alone, weather and climate disasters caused a staggering $182.7 billion in damage last year, and those costs are only projected to keep climbing. But not every state is …","Going green isnt just good for the planet its smart for your wallet, too. In the U.S. alone, weather and climate disasters caused a staggering $182.7 billion in damage last year, and those costs are … [+1079 chars]",2025-04-14T09:00:00Z,https://qz.com/5-most-least-environmentally-friendly-u-s-states-1851775055
Forbes,"Angelica Mari, Senior Contributor, 
 Angelica Mari, Senior Contributor
 https://www.forbes.com/sites/angelicamarideoliveira/",Brazil Evolves Smart City Technology To Combat Climate Change,Authorities at city and state-levels are broadening adoption of sensor-based technologies and interoperable data analytics approaches to face extreme weather events,"Flooding in the Jardim Pantanal district, which is located in a floodplain area of the Tiete River. ... More These are new neighborhoods affected by the frequent floods. (Photo by Fabio Vieira/FotoRu… [+10982 chars]",2025-04-15T13:27:42Z,https://www.forbes.com/sites/angelicamarideoliveira/2025/04/15/brazil-evolves-smart-city-technology-to-combat-climate-change/
Project Syndicate,Gary Yohe,The EPA’s Rejection of Climate Science Threatens Everyone,"The US Environmental Protection Agency recently announced that it was undertaking a formal review of its “endangerment finding,” which declares that climate change is real and caused by human activity. Unless it is stopped, the review could provide cover for …","The US Environmental Protection Agency recently announced that it was undertaking a formal review of its endangerment finding, which declares that climate change is real and caused by human activity.… [+5997 chars]",2025-04-14T14:36:30Z,https://www.project-syndicate.org/commentary/epa-reconsiders-endangerment-finding-major-attack-on-climate-science-by-gary-yohe-2025-04
Forbes,"Rachel King, Contributor, 
 Rachel King, Contributor
 https://www.forbes.com/sites/rachelking/",How Climate And Economics Are Reshaping California’s Wine Industry,"A new book examines the climate risks, economic shifts and market changes for California's massive wine industry.","Author Elaine Chukan Brown.
Académie du Vin Library
Californias vineyards have long been symbols of reinvention. From the earliest plantings by Indigenous workers to the rise of Napa Valleys most s… [+9723 chars]",2025-04-14T16:00:00Z,https://www.forbes.com/sites/rachelking/2025/04/14/how-climate-and-economics-are-reshaping-californias-wine-industry/
Psychology Today,Suzanne Degges-White Ph.D.,Family Dysfunction at the Macro Level,Those who grew up in dysfunctional families may find the current unpredictable political climate all too familiar.,"If you grew up in a family in which a parent or caregiver suffered from addiction, mental illness, or a personality disorder, theres a good chance that you consider yourself to have grown up in a dys… [+2962 chars]",2025-04-14T18:13:26Z,https://www.psychologytoday.com/us/blog/lifetime-connections/202504/family-dysfunction-at-the-macro-level
Gizmodo.com,Sabina Graves,Tony Gilroy and Diego Luna on the Joy of Knowing Andor‘s Inevitable End,The Star Wars showrunner and Rogue One star look back on coming into season 2 already knowing where Cassian's journey would take him.,"Last night Andor season two had its Hollywood premiere with a house full of fans and the creative teams behind the hit Disney+ Star Wars series. io9 was in attendance (with my dad, who introduced me … [+5023 chars]",2025-04-15T18:50:40Z,https://gizmodo.com/tony-gilroy-and-diego-luna-on-the-joy-of-knowing-andors-inevitable-end-2000589606
BBC News,,Explosion in central Athens after anonymous tip off,"There have been no reported injuries as Greece's transport minister condemned the ""criminal"" attack.","Thomas Mackintosh
No fatalities or injuries have been reported
There has been an explosion in central Athens, near the offices of Greek railway company Hellenic Train.
CCTV footage captured the mo… [+2405 chars]",2025-04-12T04:32:18Z,https://www.bbc.com/news/articles/c0r51d2r8peo
Live Science,"Stephanie Pappas, Marilyn Perkins",Climate change: Facts about our warming planet,"Discover important facts about what climate change is, what's causing it, and what we can do to stop it.","Climate change is creating a warmer world with rising sea levels and more dangerous weather. It is also messing up ecosystems around the world.
Some of the most dramatic changes can be seen in the A… [+1553 chars]",2025-04-14T21:00:33Z,https://www.livescience.com/planet-earth/climate-change/climate-change-facts-about-our-warming-planet
Forbes,"Ingmar Rentzhog, Contributor, 
 Ingmar Rentzhog, Contributor
 https://www.forbes.com/sites/ingmarrentzhog/",Global Governance Just Won Big — As The U.S. Left The Room,"On April 11, 2025, the world achieved something rare: a legally binding global climate agreement to cut shipping emissions","IMO Headquarters plenary room during the Marine Environment Protection Committee (MEPC 83) 
IMO.org/Flickr Creative Common License
On April 11, 2025, the world achieved something rare: a legally bi… [+8098 chars]",2025-04-12T15:14:50Z,https://www.forbes.com/sites/we-dont-have-time/2025/04/12/global-governance-just-won-big---as-the-us-left-the-room/
Business Insider,"Eve Crosbie,Lauren Edmonds",All the A-list appearances and biggest moments from Coachella 2025,"fans once again flocked to California for the Coachella Valley Music and Arts Festival, which included surprise guests and political statements.","Lady Gaga performed at the Coachella Valley Music and Arts Festival on April 11, 2025.Kevin Mazur/Kevin Mazur/Getty Images for Coachella
<ul><li>The 2025 Coachella Valley Music and Arts Festival kic… [+6228 chars]",2025-04-13T19:37:21Z,https://www.businessinsider.com/biggest-moments-surprise-appearances-coachella-2025-4
Forbes,"Diane Omdahl, Contributor, 
 Diane Omdahl, Contributor
 https://www.forbes.com/sites/dianeomdahl/",Medicare Enrollment Trap: Incomplete Instructions,"Given the current climate, those applying for Medicare need to do everything they can to ensure they do it right the first time.","Don't get trapped by bad Medicare directions.
getty
Weve all been reading about the problems with Social Security phone calls and appointments. Clients who need help report they are on hold for an … [+4472 chars]",2025-04-11T16:09:07Z,https://www.forbes.com/sites/dianeomdahl/2025/04/11/medicare-enrollment-trap-incomplete-instructions/
CBC News,,"Canadian mayors call for action on climate from federal leaders, instead of pipelines",Municipal politicians across Canada have written a letter to the five main federal party leaders calling for climate-related actions they say would improve the country's resilience to environmental calamities.,Municipal politicians across Canada have written a letter to the five main federal party leaders calling for climate-related actions they say would improve the country's resilience to environmental c… [+4680 chars],2025-04-11T08:01:00Z,https://www.cbc.ca/news/politics/letter-mayors-federal-leaders-1.7507440
Nakedcapitalism.com,Yves Smith,Links 4/12/2025,"Our ingestible daily links: canane rescue, whooping cough, Trump kills climate science agency, US Chinese stock delisting to boost Hong Kong, EU tariff paralysis, UK as neolibearlism victim, Iran negotiations, Witkoff visits Putin, TRump tax increase, moar AI…","Rescued Lab Test Dog Experiences the Joy of Going to the Beach for the First Time After Adoption Laughing Squid (resilc)
The North Sea Chessboard: Germany against Britain Big Serge
#COVID/Pandemics… [+8492 chars]",2025-04-12T10:58:07Z,https://www.nakedcapitalism.com/2025/04/links-4-12-2025.html
TechRadar,Jon Jarvis,Don't just lock your door: MFA alone is not enough in today's cybersecurity climate,"For years, MFA has been heralded as a cornerstone of modern security. However, it has become clear that MFA alone is no longer sufficient.","The cybersecurity landscape is evolving with serious pace, and organizations are facing increasingly sophisticated threats from attackers who are constantly finding new ways to bypass traditional def… [+7181 chars]",2025-04-15T14:46:08Z,https://www.techradar.com/pro/dont-just-lock-your-door-mfa-alone-is-not-enough-in-todays-cybersecurity-climate
New Scientist,James Dinneen,Trump budget cuts would eliminate much of NOAA’s climate research,Proposed cuts would wipe out NOAA’s Ocean and Atmospheric Research office among a raft of other reductions to one of the main scientific agencies of the US,"Protestors gathered in March outside the headquarters of the National Oceanic and Atmospheric Administration
Chip Somodevilla/Getty Images
The Trump administration aims to cut funding for the US Na… [+377 chars]",2025-04-11T20:37:10Z,https://www.newscientist.com/article/2476336-trump-budget-cuts-would-eliminate-much-of-noaas-climate-research/
Pitchfork,Jazz Monroe,"Brian Eno and Beatie Wolfe Announce New Albums, Share Videos: Watch","On Luminal and Lateral, Eno and fellow artist-musician Wolfe explore how “a piece of Art can become the ‘mother’ for a type of feeling, and a place you can go to find and re-experience that feeling”","Brian Eno and Beatie Wolfe have teamed up for a pair of new albums, Luminal and Lateral. Out June 6 via Verve, the two records are born of a 2022 SXSW talk presented by the two, who had not met befor… [+1156 chars]",2025-04-11T13:33:19Z,https://pitchfork.com/news/brian-eno-and-beatie-wolfe-announce-new-albums-share-videos-watch/
BBC News,,Climate protest jail term deemed 'disproportionate',A UN Special Rapporteur claims the sentence handed to a GP who smashed up petrol pumps is too long.,"Matthew HillHealth correspondent, BBC West
Dr Patrick Hart was sentenced to 12 months in prison
A human rights expert has described the year-long sentence given to a climate change activist as ""bla… [+6026 chars]",2025-04-14T05:20:42Z,https://www.bbc.com/news/articles/c1lmmlpmgldo
Al Jazeera English,,Severe sandstorms engulf southern Iraq,"A severe sandstorm blanketed southern Iraq, causing airports to close down and hospitalising over 3,500 people.","NewsFeed
A severe sandstorm blanketed southern Iraq on Monday, causing airports to close down and sending over 3,500 people to hospitals. Experts warn sandstorms are becoming more frequent in Iraq d… [+40 chars]",2025-04-15T15:43:44Z,https://www.aljazeera.com/program/newsfeed/2025/4/15/severe-sandstorms-engulf-southern-iraq
New Scientist,Michael Le Page,Inside the mouth-watering race to master lab-grown chocolate,"We’ve now figured out how to culture chocolate in the lab. The breakthrough could help with spiralling cocoa costs, and may even lead to tastier treats with more nutritional value","Gabi Musat/500px/Getty Images
It is by far the rarest and most exclusive chocolate I have ever eaten. In fact, you can’t even buy it in shops. It doesn’t look that special, though just a few flatten… [+1383 chars]",2025-04-14T16:00:00Z,https://www.newscientist.com/article/mg26635391-200-inside-the-mouth-watering-race-to-master-lab-grown-chocolate/
Phys.Org,Zhang Nannan,"Central Asia's cropland may face more than 1,000% rise in heat wave exposure by 2100",A new study led by Prof. Bao Anming from the Institute of Xinjiang Ecology and Geography (XIEG) of the Chinese Academy of Sciences warns of a dramatic rise in heat wave exposure across Central Asia's croplands by the end of the 21st century.,A new study led by Prof. Bao Anming from the Institute of Xinjiang Ecology and Geography (XIEG) of the Chinese Academy of Sciences warns of a dramatic rise in heat wave exposure across Central Asia's… [+2041 chars],2025-04-15T20:46:03Z,https://phys.org/news/2025-04-central-asia-cropland-exposure.html
